,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-9.7421875,-16.671875,-16.375,-16.109375,-14.1015625,-14.7265625
1,-14.0390625,-17.234375,-16.65625,-15.1953125,-15.8359375,-15.734375
2,-9.5,-16.359375,-15.7890625,-17.78125,-15.28125,-16.046875
3,-9.3046875,-16.734375,-16.390625,-17.296875,-15.875,-15.90625
4,-10.7734375,-17.203125,-15.5703125,-16.59375,-17.546875,-16.46875
5,-9.9609375,-18.390625,-16.15625,-15.75,-14.9296875,-16.4375
6,-13.546875,-16.734375,-16.90625,-17.328125,-17.140625,-17.21875
7,-8.875,-14.0078125,-14.25,-15.453125,-15.6796875,-17.4375
8,-10.2109375,-19.28125,-15.84375,-16.203125,-17.546875,-18.0625
9,-9.3046875,-16.90625,-15.171875,-17.09375,-18.640625,-18.96875
10,-8.796875,-16.390625,-14.9375,-14.9375,-15.953125,-17.890625
11,-9.3828125,-16.59375,-15.1875,-13.390625,-15.6484375,-16.828125
12,-8.5390625,-17.390625,-14.6953125,-15.25,-14.0625,-14.5
13,-11.6796875,-16.203125,-15.34375,-16.546875,-14.890625,-16.453125
14,-9.9609375,-16.25,-17.9375,-16.953125,-16.96875,-17.96875
15,-13.765625,-15.875,-15.046875,-14.3671875,-14.8671875,-15.65625
16,-11.5234375,-16.96875,-17.625,-16.71875,-15.4296875,-16.265625
17,-13.5625,-16.234375,-17.09375,-16.765625,-15.1171875,-15.828125
18,-10.5546875,-16.765625,-15.703125,-15.1796875,-15.28125,-18.421875
19,-9.578125,-16.53125,-14.7421875,-15.9921875,-15.1796875,-15.171875
