,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_126,agent1_126,agent2_126,agent3_126,agent4_126,agent5_126
0,-5.799008846282959,-6.542993068695068,-6.67806339263916,-6.578591346740723,-6.898199558258057,-6.855931282043457,-0.2030010968446731,-0.0951934680342674,-0.1456958949565887,-9.925745010375977,-10.377909660339355,-14.848210334777832
8,-6.391853332519531,-6.11559534072876,-6.44417142868042,-5.856168746948242,-6.007834434509277,-6.083899974822998,-0.461351603269577,-0.0765126124024391,-0.3295629024505615,-0.1431024074554443,-14.294114112854004,-11.958462715148926
16,-6.209656715393066,-6.780122756958008,-6.774118900299072,-6.771410465240479,-6.724879741668701,-6.431060791015625,-0.4943697452545166,-0.0241848472505807,-5.77681303024292,-8.363678932189941,-7.444323062896728,-12.598746299743652
2,-5.7147393226623535,-6.525972366333008,-6.322895526885986,-6.431286811828613,-6.515830993652344,-6.440553188323975,-0.1895204037427902,-0.3906290829181671,-0.0560504980385303,-6.963598728179932,-32.13536071777344,-30.00977325439453
1,-5.4072794914245605,-6.354859828948975,-7.174136161804199,-6.563666820526123,-6.307681560516357,-6.285218715667725,-0.4670783877372741,-4.647204399108887,-17.799327850341797,-27.90165138244629,-28.95293235778809,-33.092098236083984
9,-5.67791223526001,-6.315277099609375,-5.295275688171387,-5.652690887451172,-6.246426105499268,-7.0082688331604,-0.0758310481905937,-0.1250372231006622,-7.624359607696533,-7.253875732421875,-1.8321768045425413,-0.3285838663578033
17,-5.642167091369629,-6.59279203414917,-5.736344814300537,-6.845260620117188,-6.057826519012451,-5.6039910316467285,-0.1560236811637878,-0.0855336412787437,-7.4656147956848145,-12.016554832458496,-29.34550094604492,-31.926456451416016
3,-5.548303127288818,-6.859262466430664,-6.943321704864502,-6.986272811889648,-7.249204158782959,-6.860466957092285,-0.012222864665091,-0.1409750282764434,-9.87508487701416,-8.194489479064941,-10.553372383117676,-13.920268058776855
10,-5.891439914703369,-6.764646530151367,-7.624844074249268,-7.690676212310791,-7.878298282623291,-8.65898609161377,-1.3438570499420166,-0.0350258350372314,-10.631338119506836,-7.170699596405029,-17.290477752685547,-16.675262451171875
11,-6.136963367462158,-6.699458599090576,-5.678529739379883,-6.138221263885498,-6.88353967666626,-6.127173900604248,-0.4716935157775879,-0.4786170125007629,-9.641735076904297,-15.739148139953612,-32.872467041015625,-36.73929214477539
18,-6.036829471588135,-6.15254545211792,-5.571224212646484,-6.282248020172119,-6.177235126495361,-5.304941177368164,-1.3018651008605957,-0.0957392379641532,-1.73377788066864,-10.397852897644045,-10.936272621154783,-28.937700271606445
19,-5.805247783660889,-6.170955657958984,-5.79110860824585,-6.291772365570068,-6.1634931564331055,-6.090966701507568,-0.7536948323249817,-0.1325085908174514,-3.7087244987487793,-19.119064331054688,-10.561929702758787,-12.727219581604004
5,-5.662445068359375,-7.005407810211182,-6.263296604156494,-5.704298973083496,-6.648288249969482,-6.366030693054199,-0.1262127459049224,-0.3077045977115631,-0.2631610631942749,-0.1982462108135223,-2.962636709213257,-11.576936721801758
4,-5.755054950714111,-6.737863063812256,-6.621048450469971,-6.548354625701904,-6.512281894683838,-6.84243631362915,-0.0684556365013122,-0.8371676206588745,-7.885439872741699,-8.632165908813477,-3.3879470825195312,-6.976885318756104
12,-6.518014907836914,-5.619407176971436,-6.169460773468018,-6.063361167907715,-7.177470684051514,-7.205806255340576,,,,,,
13,-6.438252925872803,-6.839056968688965,-6.478748321533203,-6.917396068572998,-6.9037017822265625,-6.9286956787109375,-0.3253492414951324,-0.190107062458992,-0.0460116080939769,-9.10435390472412,-9.486848831176758,-14.565336227416992
7,-5.574304580688477,-6.9179887771606445,-6.436936855316162,-5.988454341888428,-6.661251544952393,-6.801148891448975,-0.4605891108512878,-0.0483406372368335,-0.2832197844982147,-0.7170373201370239,-5.492201805114746,-10.152355194091797
6,-5.476043224334717,-6.565908908843994,-6.648438930511475,-6.600327491760254,-6.215907573699951,-6.67622184753418,-0.0057036038488149,-0.3583025634288788,-0.3563907742500305,-0.6873869299888611,-0.5025759935379028,-4.407022476196289
15,-5.609310626983643,-6.551100254058838,-6.507180213928223,-6.038880825042725,-6.332559108734131,-7.09919023513794,,,,,,
14,-6.171302795410156,-7.025267124176025,-6.188052177429199,-8.117499351501465,-8.975363731384277,-8.747629165649414,,,,,,
