,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_269,agent1_269,agent2_269,agent3_269,agent4_269,agent5_269
0,-1.11355459690094,-5.11320686340332,-6.02347993850708,-7.0934038162231445,-6.694125652313232,-8.229348182678223,-0.2608018219470978,-0.4128189086914062,-4.97638750076294,-8.857860565185547,-10.835896492004396,-34.8387451171875
2,-1.0968483686447144,-3.808814764022827,-2.2530345916748047,-2.758653402328491,-5.667604446411133,-6.374545574188232,-0.3100514113903045,-2.9681169986724854,-0.0837814733386039,-0.1034263595938682,-7.603470802307129,-6.338613033294678
4,-1.1215440034866333,-1.7305065393447876,-5.523892402648926,-7.150824069976807,-6.203271865844727,-6.09012508392334,-0.3409852385520935,-0.943814218044281,-0.7411374449729919,-9.858659744262695,-12.7968168258667,-32.66336441040039
6,-1.0256412029266355,-3.948814868927002,-7.21144437789917,-8.138270378112793,-8.514424324035645,-8.451478958129883,-0.0088545298203825,-0.2769481241703033,-5.969304084777832,-16.56757926940918,-34.0140495300293,-34.13376235961914
5,-1.304922342300415,-3.455338716506958,-4.566699504852295,-5.940171241760254,-7.576320648193359,-6.991754531860352,-0.2219865471124649,-2.256680965423584,-7.340481281280518,-8.188298225402832,-10.171271324157717,-15.998533248901367
1,-1.184722661972046,-2.606621026992798,-5.231357097625732,-7.278719425201416,-7.86442756652832,-7.642073631286621,-0.3319549858570099,-1.157089114189148,-0.184537798166275,-32.61669158935547,-35.69157028198242,-36.87480926513672
3,-1.5273562669754028,-2.332066774368286,-1.3489800691604614,-6.054437637329102,-7.63198184967041,-7.432518005371094,-0.030014906078577,-0.7153221368789673,-0.068521112203598,-6.9422607421875,-10.863304138183594,-16.87401008605957
7,-1.423890233039856,-3.9033937454223633,-7.007468223571777,-7.201070785522461,-7.423511028289795,-7.096456050872803,-1.0563108921051023,-0.7331835031509399,-1.7063735723495483,-5.7283854484558105,-9.153301239013672,-15.157936096191406
8,-1.1288089752197266,-3.2889175415039062,-4.326200485229492,-7.070000648498535,-7.11208438873291,-7.378926753997803,-1.260068416595459,-1.6200790405273438,-2.344852924346924,-8.92152214050293,-10.138836860656738,-20.385055541992188
10,-1.4545948505401611,-5.862716197967529,-6.595274448394775,-6.774786949157715,-6.546465873718262,-6.77940034866333,-0.727916955947876,-1.1512855291366575,-1.0593262910842896,-2.123532056808472,-6.359657764434815,-7.634402751922607
12,-1.5197045803070068,-4.471244812011719,-2.9476418495178223,-4.142152786254883,-6.832366943359375,-7.487628936767578,-0.8076865077018738,-0.1222736239433288,-0.5849204659461975,-4.973615646362305,-8.857748985290527,-16.555355072021484
14,-1.360741376876831,-2.5611214637756348,-5.457252502441406,-7.344671249389648,-7.857503414154053,-7.573400497436523,,,,,,
13,-1.1475931406021118,-1.9529809951782229,-2.2682783603668213,-6.868138313293457,-4.696617126464844,-6.30789852142334,-0.2178445607423782,-0.4454813599586487,-0.0863422751426696,-7.808304309844971,-7.723215103149414,-8.569958686828613
11,-1.1747281551361084,-2.1556358337402344,-3.0712952613830566,-2.408566236495972,-5.773739337921143,-7.404593467712402,-0.6779126524925232,-0.76270592212677,-0.575290322303772,-0.4012271165847778,-4.254987716674805,-8.568666458129883
18,-1.350756287574768,-3.788522243499756,-7.309982299804687,-6.513288021087647,-7.281651020050049,-5.850950241088867,-0.7467350363731384,-0.038766860961914,-3.836955547332764,-6.169293403625488,-11.292434692382812,-30.56570816040039
15,-1.205039143562317,-3.323962688446045,-4.710690498352051,-5.536259651184082,-5.7237091064453125,-7.603194713592529,,,,,,
9,-1.2493869066238403,-4.244104862213135,-3.274904489517212,-4.853126049041748,-6.257289886474609,-7.244099617004394,-0.924154818058014,-0.1690212488174438,-0.2963925302028656,-3.751014709472656,-1.842826247215271,-8.402791976928711
16,-1.421086311340332,-2.82095718383789,-2.3926477432250977,-5.971624851226807,-6.485563278198242,-7.466259479522705,-0.2449169158935547,-0.6638643145561218,-0.0395614206790924,-6.165937900543213,-4.374740123748779,-14.008345603942873
19,-1.2285467386245728,-3.0562222003936768,-3.427126884460449,-6.704909801483154,-7.098876953125,-7.215782165527344,-0.6373661160469055,-0.1146730780601501,-0.2582790553569793,-12.421812057495115,-22.37248611450196,-29.476640701293945
17,-1.2123947143554688,-2.655125856399536,-5.729116916656494,-7.089148044586182,-6.976648807525635,-6.9968671798706055,-0.1910945624113083,-0.1692828834056854,-7.030676364898682,-9.24355411529541,-36.51993560791016,-31.377182006835938
