,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_998,agent1_998,agent2_998,agent3_998,agent4_998,agent5_998
0,-2.548437595367432,-3.502536535263061,-5.443002700805664,-5.0706634521484375,-7.12241268157959,-6.56760835647583,-1.7228275537490845,-0.4121781289577484,-2.662473440170288,-12.94076919555664,-9.893741607666016,-14.743922233581545
2,-2.583298444747925,-4.044633388519287,-4.821841239929199,-5.749800682067871,-5.854100704193115,-6.645291328430176,-1.213258147239685,-4.141951084136963,-1.853592872619629,-1.867684364318848,-8.93138313293457,-24.128448486328125
4,-3.233855962753296,-3.833828210830689,-3.7434120178222656,-7.043840408325195,-7.708388805389404,-7.342208862304687,-0.147980660200119,-0.1524539142847061,-0.0174440424889326,-10.180782318115234,-15.961248397827148,-34.111785888671875
6,-2.8168485164642334,-4.124018669128418,-5.529576301574707,-6.701183795928955,-6.338324069976807,-7.503037929534912,-2.6518490314483643,-0.2899183928966522,-0.8511478304862976,-8.516280174255371,-37.53782653808594,-38.72531509399414
5,-2.8606741428375244,-5.932289123535156,-4.568302154541016,-7.806460380554199,-8.690632820129395,-8.253241539001465,-0.5447074770927429,-3.399211883544922,-0.1124697476625442,-13.36627960205078,-13.0857515335083,-12.130792617797852
1,-2.7091825008392334,-3.360785484313965,-6.406492233276367,-7.020427703857422,-6.773514747619629,-8.067771911621094,-1.118659496307373,-0.5965234041213989,-2.2491512298583984,-2.765698432922364,-6.225013732910156,-12.77240753173828
3,-2.8499867916107178,-4.517041206359863,-4.589051246643066,-4.011508941650391,-3.6553955078125,-4.316195964813232,-2.287351131439209,-0.5625041723251343,-1.337121844291687,-0.1813229769468307,-0.2627224624156952,-0.3090219795703888
7,-2.6299490928649902,-4.586097717285156,-6.813735961914063,-6.367124557495117,-7.983397006988525,-7.137301445007324,-0.8744591474533081,-0.3123044073581695,-2.698286533355713,-5.787243366241455,-11.581587791442873,-2.489396572113037
8,-2.348670721054077,-5.167238712310791,-4.9033732414245605,-7.346065521240234,-8.40481948852539,-9.194125175476074,-0.393003761768341,-0.1791190952062606,-0.0304753165692091,-0.2634672224521637,-2.86623764038086,-15.259552001953123
10,-3.2436797618865967,-3.1745917797088623,-3.5909557342529297,-5.659063816070557,-5.787175178527832,-6.291295051574707,-3.064901828765869,-0.0446236170828342,-0.9363972544670104,-12.564929962158203,-22.01931953430176,-21.48056983947754
12,-2.573367118835449,-7.447922229766846,-4.437943935394287,-4.057882308959961,-6.882735729217529,-10.68955135345459,,,,,,
14,-2.559292793273926,-4.138889312744141,-3.5182697772979736,-3.964486122131348,-5.883356094360352,-7.258210182189941,,,,,,
13,-2.689583778381348,-3.3815083503723145,-2.605596780776977,-4.481968402862549,-6.000094890594482,-6.882900238037109,-0.8059572577476501,-0.1845394074916839,-0.0241965223103761,-2.6002731323242188,-7.823426723480225,-15.656177520751953
11,-2.969317674636841,-3.389739513397217,-3.146033525466919,-4.568485736846924,-7.364467144012451,-8.169562339782715,-0.9414473176002502,-0.1205740198493003,-0.0929891467094421,-0.1273217946290969,-29.56971740722656,-28.37281990051269
18,-3.251746416091919,-8.844977378845215,-8.334492683410645,-7.345925331115723,-8.165881156921387,-7.902539253234863,,,,,,
15,-2.5820202827453613,-3.620760679244995,-5.83587121963501,-8.111390113830566,-6.366556644439697,-7.243681907653809,,,,,,
9,-2.920161485671997,-3.358872890472412,-3.0555295944213867,-7.1200995445251465,-8.311723709106445,-7.33709192276001,-0.8195019960403442,-0.0689987391233444,-0.0637796074151992,-5.618442058563232,-2.489506244659424,-2.672877311706543
16,-3.0090575218200684,-5.487937450408936,-6.733675956726074,-7.85362958908081,-7.938852787017822,-7.781845092773437,-0.5333385467529297,-2.565395832061768,-15.122364044189451,-13.584856986999512,-13.84106731414795,-15.966236114501951
19,-2.6507036685943604,-5.568230628967285,-6.597538948059082,-8.331893920898438,-7.156876087188721,-7.299971580505371,-1.4466948509216309,-4.381166458129883,-1.1421328783035278,-36.42470932006836,-30.39031219482422,-32.416412353515625
17,-3.247997283935547,-5.210267543792725,-5.148571491241455,-5.777614116668701,-8.032096862792969,-8.070242881774902,-0.7205098867416382,-0.2962213456630707,-0.3094251751899719,-5.041549682617188,-13.053973197937012,-17.14828109741211
